mid,x,y,z,xxx,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,sgz
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,90,70,81,56.21,13,5.00,14.00,-1019.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,91,70,81,56.18,13,3.00,0.00,-994.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,91,70,81,56.20,13,6.00,5.00,-993.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,91,70,81,56.18,14,2.00,-13.00,-958.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,91,70,81,56.11,14,-4.00,1.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,91,70,81,56.14,14,-10.00,11.00,-1017.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,92,70,81,56.15,14,-25.00,20.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,92,70,81,56.15,14,-8.00,-8.00,-980.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,92,70,81,56.14,14,3.00,-12.00,-998.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,92,70,81,56.16,14,-2.00,-3.00,-989.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,92,70,81,56.15,14,-20.00,1.00,-1011.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,92,70,81,56.19,14,0.00,-6.00,-998.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,93,70,81,56.10,14,-13.00,2.00,-995.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,80,93,70,81,56.18,15,-3.00,16.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,93,70,81,56.20,15,-18.00,1.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,93,70,81,56.24,15,1.00,3.00,-989.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,93,70,81,56.21,15,-19.00,0.00,-984.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,93,70,81,56.18,15,0.00,14.00,-977.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,93,70,81,56.21,15,-15.00,-4.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,92,70,81,56.13,15,6.00,-3.00,-996.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,92,70,81,56.16,15,-8.00,0.00,-982.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,92,70,81,56.18,15,-7.00,7.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,92,70,81,56.18,15,6.00,-3.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,91,70,81,56.20,16,-19.00,11.00,-1018.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,91,70,81,56.24,16,-5.00,-6.00,-993.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,91,70,81,56.17,16,16.00,-5.00,-990.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.15,16,-5.00,-4.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.19,16,12.00,-29.00,-984.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.15,16,1.00,-13.00,-1001.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.21,16,-7.00,-1.00,-1012.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.13,16,13.00,-16.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.20,16,-8.00,6.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.21,16,7.00,-14.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,77,81,90,70,81,56.15,17,1.00,-13.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.14,17,3.00,-10.00,-1000.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,90,70,81,56.15,17,3.00,-11.00,-1003.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.14,17,-6.00,8.00,-998.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.11,17,-16.00,9.00,-1022.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.15,17,6.00,-7.00,-995.00,
